date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:47	12708/12708	---M--	200	added ('OK')	image/png	etag:%2231a4-69054403-37884c65a77cfb77;;;%22	https://amincode.com/tm-html/flex-it/assets/images/testimonials/1.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/testimonials/1.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:48	11224/11224	---M--	200	added ('OK')	image/png	etag:%222bd8-69054403-7c2eaf18e698cf69;;;%22	https://amincode.com/tm-html/flex-it/assets/images/testimonials/2.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/testimonials/2.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:48	11365/11365	---M--	200	added ('OK')	image/png	etag:%222c65-69054403-131e8f881833b678;;;%22	https://amincode.com/tm-html/flex-it/assets/images/testimonials/3.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/testimonials/3.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:48	16426/16426	---M--	200	added ('OK')	image/jpeg	etag:%22402a-69054403-9f7f10814673db27;;;%22	https://amincode.com/tm-html/flex-it/assets/images/blog/post-images/1.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/blog/post-images/1.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:48	6330988/6330988	---M--	200	added ('OK')	video/mp4	etag:%22609a6c-69054403-bc11b31c25aba901;;;%22	https://amincode.com/tm-html/flex-it/assets/videos/section-bg-video-1.mp4	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/videos/section-bg-video-1.mp4	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:48	18005/18005	---M--	200	added ('OK')	image/jpeg	etag:%224655-69054403-650f3b9fa60efa61;;;%22	https://amincode.com/tm-html/flex-it/assets/images/blog/post-images/2.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/blog/post-images/2.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:49	16544/16544	---M--	200	added ('OK')	image/jpeg	etag:%2240a0-69054403-6e54db83c8d678bc;;;%22	https://amincode.com/tm-html/flex-it/assets/images/blog/post-images/3.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/blog/post-images/3.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:49	1165/1165	---M--	200	added ('OK')	image/png	etag:%2248d-69054403-d94a5a273f4e1d5b;;;%22	https://amincode.com/tm-html/flex-it/assets/images/logo/logo-colored.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/logo/logo-colored.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:49	89664/89664	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215e40-69054403-da8c4481cfb3bd94;gz%22	https://amincode.com/tm-html/flex-it/js/vendors/jquery-3.6.1.min.js	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/js/vendors/jquery-3.6.1.min.js	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:50	1266/1266	---M-Z	200	added ('OK')	application/x-javascript	etag:%224f2-69054403-8465224c1612e1e6;gz%22	https://amincode.com/tm-html/flex-it/js/vendors/appear.min.js	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/js/vendors/appear.min.js	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:50	80821/80821	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213bb5-69054403-4c1a27d33bd02ffc;gz%22	https://amincode.com/tm-html/flex-it/js/vendors/bootstrap.bundle.min.js	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/js/vendors/bootstrap.bundle.min.js	(from https://amincode.com/tm-html/flex-it/home-6.html)
